번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
1,밥류,콩나물국밥,700,223.26,12.05,24,8.78,0.06,1950.91,125.03,1.48,0.03
2,밥류,"국밥, 소머리",800,631.99,17.53,75.98,28.66,0,823.26,241.92,9.67,0.6
3,밥류,김밥,200,317.68,57.57,7.26,6.48,0.5,833.29,40.49,2.75,0.06
4,밥류,"김밥, 김치",250,344.97,60.67,10.93,6.51,1.86,1145.54,74.18,1.58,0.05
5,밥류,"김밥, 샐러드",250,405.95,61.45,9.62,13.52,3.42,911.18,84.58,2.79,0.06
6,밥류,"김밥, 소고기",250,400.61,62.52,15.98,9.62,0.84,1061.19,93.08,2.52,0.11
7,밥류,"김밥, 참치",250,424.06,64.76,12.73,12.68,0.6,1108.41,97.82,3.91,0.18
8,밥류,"삼각김밥, 고추장불고기",100,165.29,34.11,3.66,1.58,0.2,342.92,3.51,0.45,0.01
9,밥류,"삼각김밥, 숯불갈비",100,161.24,32.55,4,1.67,0.16,358.36,4.04,0.53,0.02
10,밥류,"삼각김밥, 참치마요네즈",100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
11,밥류,충무김밥,400,583.93,109.16,23.42,5.96,17.19,1294.27,156.85,1.1,0.02
12,밥류,"덮밥, 돼지고기",500,782.38,115.48,30.08,22.24,7.28,1538.06,83.76,5.68,0.16
13,밥류,"덮밥, 쇠고기",500,669.3,102.35,28.62,16.16,4.39,1499.14,66.5,4.57,0.45
14,밥류,"덮밥, 오징어",500,679.9,107.31,31.5,13.85,5.71,1622.91,280.59,2.31,0.09
15,밥류,장어덮밥,400,716.54,97.35,30.09,22.98,5.59,920.76,234.56,5.18,0.23
16,밥류,해물덮밥,700,771.93,100.45,42.04,22.44,1.2,1802.68,286.24,5.41,0.21
17,밥류,회덮밥,500,683.02,103.3,30.21,16.56,10.92,744.27,88.65,2.9,0.12
18,밥류,"덮밥, 참치",500,679.1,102.93,29.2,16.73,2.98,1618.74,115.79,3.4,0.08
19,밥류,류산슬덮밥,550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87,3.39,0.12
20,밥류,송이덮밥,600,581.81,95.6,18.22,14.06,2.27,1678.01,48.2,2.79,0.1
21,밥류,볶음밥,400,773.3,112.68,18.79,27.5,0.86,1203.19,161.18,12.79,0.29
22,밥류,"볶음밥, 김치",500,754.74,120,23.06,20.28,4.28,1791.99,152.55,7.1,0.17
23,밥류,"볶음밥, 새우",400,700.02,112.86,17.92,19.66,1.2,1395.06,149.36,3.96,0.07
24,밥류,해물볶음밥,400,705.22,90.46,25.1,27,1.22,1074.35,241.8,5.38,0.15
25,밥류,오므라이스,450,729.97,112.45,21.52,21.56,10.35,1483.37,206.32,5.8,0.08
26,밥류,삼선볶음밥,400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15
27,밥류,비빔밥,500,706.62,114.83,19.92,18.62,25.66,1337.1,111.13,3.84,0.12
28,밥류,육회비빔밥,450,679.7,96.18,29.18,19.8,12.03,935.91,115.98,4.2,0.19
29,밥류,"생선초밥, 광어",300,453.78,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02
30,밥류,"생선초밥, 모듬",300,461.97,76.43,25.42,6.06,8.65,968.94,70.88,1.51,0.04
31,밥류,농어초밥,250,396.74,78.75,17.43,1.34,13.01,1035.04,26.5,0.65,0.02
32,밥류,문어초밥,250,392.23,81.78,14.62,0.74,13.38,1200.86,70.08,0.35,0
33,밥류,연어초밥,250,447.32,71.04,18.88,9.74,12.88,1064.38,32.05,1.84,0.06
34,밥류,새우초밥,250,387.67,78.42,16.8,0.75,11.66,1110.29,72.64,0.55,0.01
35,밥류,장어초밥,250,486.26,80.68,16.52,10.83,13.68,1270.91,102.77,2.91,0.1
36,밥류,한치초밥,250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06,0.45,0
37,밥류,유부초밥,250,446.33,82.31,12.46,7.48,10.67,1046.16,2.47,1.53,0.04
38,밥류,잡채밥,650,884.66,159.47,19.49,18.76,2.76,1908.24,22.21,9.67,0.29
39,밥류,잡탕밥,750,777.44,104.94,44.12,20.14,0.48,2109.52,329.86,4.06,0.12
40,밥류,짜장밥,500,741.66,120.06,15.24,22.28,5.37,1560.38,26.44,8.56,0.16
41,밥류,카레라이스,500,672,126.01,13.49,12.66,4.97,1089.16,6.98,3.68,0.08
42,밥류,알밥,400,618.5,116.78,14.59,10.34,0.92,1339.31,84.39,2.49,0.1
43,밥류,짬뽕밥,900,661.76,110.85,29.05,11.35,2.47,2813.26,251.3,2.42,0.04
44,밥류,오곡밥,250,390,82.25,12,1.25,0.25,113.9,0,0.5,0
45,밥류,새우튀김롤,300,606.5,96.28,14.47,18.17,11.14,1391.43,55.88,3.41,0.11
46,밥류,연어롤,300,510.19,74.32,18.57,15.4,8.47,1211.9,61.97,2.83,0.1
47,밥류,캘리포니아롤,300,487.64,89.23,12.33,9.04,8.9,1295.88,65.96,2.14,0.05
48,빵 및 과자류,꽈배기,65,262.38,30.7,5.13,13.23,7.02,279.94,12.36,4.51,0.12
49,빵 및 과자류,"도우넛, 찹쌀",70,207.05,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04
